# Wordlist

# DISTANCES
<dst>
 4
English    0.00 0.25 0.50 0.50
German     0.25 0.00 0.50 0.50
Russian    0.50 0.50 0.00 0.00
Ukrainian  0.50 0.50 0.00 0.00
</dst>

# DATA
ID	CONCEPT	COUNTERPART	IPA	DOCULECT	COGID	ALIGNMENT
#
13	Harry	Harald	haralt	German	7	h a r a l t
14	Harry	Harry	hæri	English	7	h æ r i - -
15	Harry	Гарри	gari	Russian	7	g a r i - -
16	Harry	Гаррi	hari	Ukrainian	7	h a r i - -
#
9	Woldemort	Waldemar	valdemar	German	6	v a l - d e m a r -
10	Woldemort	Woldemort	wɔldemɔrt	English	6	w ɔ l - d e m ɔ r t
11	Woldemort	Владимир	vladimir	Russian	6	v - l a d i m i r -
12	Woldemort	Володимир	volodimir	Ukrainian	6	v o l o d i m i r -
#
1	hand	Hand	hant	German	1	h a n t
2	hand	hand	hænd	English	1	h æ n d
3	hand	рука	ruka	Russian	2	r u k a
4	hand	рука	ruka	Ukrainian	2	r u k a
#
5	leg	Bein	bain	German	3	b ai n
6	leg	leg	lɛg	English	4	l ɛ g
7	leg	нога	noga	Russian	5	n o g a
8	leg	нога	noha	Ukrainian	5	n o h a
